nbsujet nbséanceia nbséanceprog
1652 77 4681
1653 32 4681
1654 22 4681
1655 45 4681
1656 63 4681
1657 34 4681
1658 23 4681
1659 31 4681
1660 81 4681
1661 20 4681
1662 90 4681
1663 63 4681
1664 70 4681
1665 77 4681
1666 30 4681
1667 31 4681
1668 31 4681
1669 31 4681
1670 44 4681
1671 45 4681
1672 82 4681
1673 45 4681
1674 32 4681
1675 44 4681
1676 31 4681
1677 50 4681
1678 34 4681
1679 74 4681
1680 93 4681
1681 74 4681
1682 37 4681
1683 93 4681
1684 34 4681
1685 34 4681
1686 21 4681
1687 31 4681
1688 44 4681
1689 34 4681
1690 81 4681
1691 85 4681
1692 21 4681
1693 49 4681
1694 30 4681
1695 20 4681
1696 78 4681
1697 34 4681
1698 86 4681
1699 22 4681
1700 20 4681
1701 87 4681
1702 31 4681
1703 81 4681
1704 78 4681
1705 21 4681
1706 21 4681
1707 34 4681
1708 29 4681
1709 29 4681
1710 44 4681
1711 36 4681
1712 57 4681
1713 80 4681
1714 31 4681
1715 44 4681
1716 33 4681
1717 34 4681
1718 44 4681
1719 31 4681
1720 45 4681
1721 36 4681
1722 32 4681
1723 31 4681
1724 22 4681
1725 49 4681
1726 68 4681
1727 44 4681
1728 31 4681
1729 33 4681
1730 36 4681
1731 21 4681
1732 24 4681
1733 88 4681
1734 30 4681
1735 49 4681
1736 50 4681
1737 57 4681
1738 71 4681
1739 44 4681
1740 88 4681
1741 89 4681
1742 78 4681
1743 47 4681
1744 23 4681
1745 79 4681
1746 23 4681
1747 33 4681
1748 31 4681
1749 67 4681
1750 35 4681
1751 33 4681
1752 76 4681
1753 44 4681
1754 48 4681
1755 23 4681
1756 78 4681
1757 82 4681
1758 33 4681
1759 31 4681
1760 44 4681
1761 80 4681
1762 23 4681
1763 30 4681
1764 32 4681
1765 37 4681
1766 70 4681
1767 37 4681
1768 36 4681
1769 77 4681
1770 83 4681
1771 53 4681
1772 21 4681
1773 76 4681
1774 34 4681
1775 45 4681
1776 21 4681
1777 36 4681
1778 34 4681
1779 77 4681
1780 35 4681
1781 31 4681
1782 22 4681
1783 34 4681
1784 84 4681
1785 78 4681
1786 58 4681
1787 18 4681
1788 23 4681
1789 23 4681
1790 49 4681
1791 20 4681
1792 80 4681
1793 73 4681
1794 34 4681
1795 31 4681
1796 78 4681
1797 91 4681
1798 31 4681
1799 31 4681
1800 32 4681
1801 21 4681
1802 33 4681
1803 82 4681
1804 37 4681
1805 49 4681
1806 82 4681
1807 78 4681
1808 32 4681
1809 46 4681
1810 45 4681
1811 92 4681
1812 48 4681
1813 44 4681
1814 50 4681
1815 46 4681
1816 21 4681
1817 44 4681
1818 32 4681
1819 82 4681
1820 34 4681
1821 32 4681
1822 82 4681
1823 82 4681
1824 32 4681
1825 44 4681
1826 34 4681
1827 91 4681
1828 34 4681
1829 23 4681
1830 34 4681
1831 37 4681
1832 48 4681
1833 71 4681
1834 71 4681
1835 82 4681
1836 88 4681
1837 70 4681
1838 20 4681
1839 82 4681
1840 85 4681
1841 34 4681
1842 78 4681
1843 32 4681
1844 23 4681
1845 34 4681
1846 30 4681
1847 31 4681
1848 44 4681
1849 22 4681
1850 22 4681
1851 19 4681
1852 20 4681
1853 30 4681
1854 33 4681
1855 34 4681
1856 87 4681
1857 22 4681
1858 52 4681
1859 79 4681
1860 80 4681
1861 22 4681
1862 32 4681
